time,device_id,lat,lon,altitude_m,battery_voltage,solar_voltage,ambient_lux,uv_index
2026-05-15T18:14:37.589724+00:00,stratolink-3,37.7784501,-122.3978243,-6,5.392,5.208,8738,0
2026-05-15T18:15:40.7993+00:00,stratolink-3,37.7784564,-122.3978298,-6,5.4,5.22,8738,0
2026-05-15T18:16:43.589147+00:00,stratolink-3,37.7784413,-122.3978265,-2,5.388,5.224,8738,0
2026-05-15T18:17:46.608982+00:00,stratolink-3,37.7784543,-122.3978423,-1,5.406,5.224,8738,0
2026-05-15T18:18:49.581368+00:00,stratolink-3,37.7784438,-122.3978862,-2,5.398,5.206,8738,0
2026-05-15T18:19:52.194124+00:00,stratolink-3,37.7785141,-122.3979149,-20,5.4,5.228,8738,0
2026-05-15T18:20:55.797221+00:00,stratolink-3,37.7785141,-122.3979108,-13,5.388,5.206,8738,0
2026-05-15T18:21:58.577035+00:00,stratolink-3,37.7785127,-122.3979108,-4,5.386,5.23,8738,0
2026-05-15T18:23:01.601714+00:00,stratolink-3,37.7784936,-122.3979017,-4,5.406,5.224,8738,0
2026-05-15T18:24:04.585809+00:00,stratolink-3,37.7785079,-122.3978839,-5,5.4,5.206,8738,0
2026-05-15T18:25:07.598053+00:00,stratolink-3,37.7785325,-122.3979955,-30,5.398,5.208,8738,0
2026-05-15T18:26:10.876866+00:00,stratolink-3,37.7784751,-122.397914,-11,5.41,5.206,8738,0
2026-05-15T18:27:13.97267+00:00,stratolink-3,37.7784559,-122.3978863,-1,5.406,5.206,8738,0
2026-05-15T18:28:17.576434+00:00,stratolink-3,37.7784559,-122.3978636,-17,5.398,5.206,8738,0
2026-05-15T18:29:20.845931+00:00,stratolink-3,37.778426,-122.3978636,-26,5.4,5.2,8738,0
2026-05-15T18:30:23.591199+00:00,stratolink-3,37.7784636,-122.397903,-13,5.398,5.192,8738,0
2026-05-15T18:57:55.611868+00:00,stratolink-3,37.7785112,-122.397956,-20,5.36,5.074,8738,0
2026-05-15T18:58:58.586568+00:00,stratolink-3,37.7785385,-122.3979442,-23,5.378,5.078,8738,0
2026-05-15T19:00:01.623558+00:00,stratolink-3,37.7785757,-122.3980372,-36,5.364,5.05,8738,0
2026-05-15T19:01:04.571493+00:00,stratolink-3,37.7785515,-122.3980055,-31,5.366,5.096,7502,0
2026-05-15T19:02:06.617699+00:00,stratolink-3,37.778511,-122.3979827,-26,5.38,4.968,6184,0
2026-05-15T19:03:09.909449+00:00,stratolink-3,37.778511,-122.3980174,-32,5.372,4.974,5925,0
2026-05-15T19:04:13.593894+00:00,stratolink-3,37.7785317,-122.3980174,-19,5.366,4.95,5731,0
2026-05-15T19:05:15.601133+00:00,stratolink-3,37.7784501,-122.397991,-21,5.38,4.78,5581,0
2026-05-15T19:06:18.629139+00:00,stratolink-3,37.7784841,-122.3979723,-21,5.34,4.522,5471,0
2026-05-15T19:07:21.605551+00:00,stratolink-3,37.7784553,-122.3979205,-10,5.232,4.316,5362,0
2026-05-15T19:08:24.979819+00:00,stratolink-3,37.7784609,-122.3979372,-21,5.076,4.2,5281,0
2026-05-15T19:09:27.600537+00:00,stratolink-3,37.7784559,-122.3979621,-19,4.884,4.176,5215,0
2026-05-15T19:10:30.50656+00:00,stratolink-3,37.7785042,-122.3979912,-24,4.648,3.996,5120,0
2026-05-15T19:11:33.595975+00:00,stratolink-3,37.7785042,-122.3979337,-12,4.332,3.816,5035,0
2026-05-15T19:13:36.605621+00:00,stratolink-3,37.7784671,-122.3979337,-10,3.684,3.316,4929,0
2026-05-15T19:15:38.433517+00:00,stratolink-3,,,,3.402,3.3,4836,0
2026-05-15T19:20:42.025384+00:00,stratolink-3,,,,3.34,3.146,4510,0
2026-05-15T19:25:45.5555+00:00,stratolink-3,,,,3.338,3.11,4228,0
2026-05-15T19:30:49.057648+00:00,stratolink-3,,,,3.34,3.13,3948,0
2026-05-15T19:35:52.529593+00:00,stratolink-3,,,,3.338,3.234,3773,0
2026-05-15T19:40:55.956575+00:00,stratolink-3,,,,3.338,3.188,3590,0
2026-05-15T19:45:59.375073+00:00,stratolink-3,,,,3.332,3.114,3424,0
2026-05-15T19:56:06.203184+00:00,stratolink-3,,,,3.338,3.116,2964,0
2026-05-15T20:01:09.556434+00:00,stratolink-3,,,,3.34,3.092,2812,0
2026-05-15T20:06:12.897456+00:00,stratolink-3,,,,3.338,3.156,2781,0
2026-05-15T20:11:16.210488+00:00,stratolink-3,,,,3.334,3.104,2710,0
2026-05-15T20:16:19.53194+00:00,stratolink-3,,,,3.338,3.092,2622,0
2026-05-15T20:21:22.830353+00:00,stratolink-3,,,,3.338,3.16,2584,0
2026-05-15T20:26:26.134653+00:00,stratolink-3,,,,3.338,3.128,2566,0
2026-05-15T20:31:29.428607+00:00,stratolink-3,,,,3.34,3.088,2507,0
2026-05-15T20:36:32.693326+00:00,stratolink-3,,,,3.338,3.126,2457,0
2026-05-15T20:41:35.925571+00:00,stratolink-3,,,,3.34,3.096,2428,0
2026-05-15T20:46:39.175544+00:00,stratolink-3,,,,3.336,3.092,2386,0
2026-05-15T20:51:42.479133+00:00,stratolink-3,,,,3.34,3.166,2369,0
2026-05-15T20:56:45.608923+00:00,stratolink-3,,,,3.338,3.074,2355,0
2026-05-15T21:01:48.821563+00:00,stratolink-3,,,,3.34,3.088,2338,0
2026-05-15T21:06:51.97671+00:00,stratolink-3,,,,3.336,3.082,2320,0
2026-05-15T21:11:55.17206+00:00,stratolink-3,,,,3.334,3.078,2291,0
2026-05-15T21:16:58.345641+00:00,stratolink-3,,,,3.336,3.088,2263,0
2026-05-15T21:22:01.503671+00:00,stratolink-3,,,,3.338,3.094,2229,0
2026-05-15T21:27:04.712096+00:00,stratolink-3,,,,3.336,3.078,2197,0
2026-05-15T21:32:07.882352+00:00,stratolink-3,,,,3.336,3.874,2155,0
2026-05-15T21:37:11.017707+00:00,stratolink-3,,,,3.336,3.086,2103,0
2026-05-15T21:42:14.131149+00:00,stratolink-3,,,,3.336,3.076,2053,0
2026-05-15T21:47:17.256301+00:00,stratolink-3,,,,3.34,3.074,2002,0
2026-05-15T21:52:20.371882+00:00,stratolink-3,,,,3.34,3.126,1948,0
2026-05-15T21:57:23.495711+00:00,stratolink-3,,,,3.336,3.154,1883,0
2026-05-15T22:02:26.593378+00:00,stratolink-3,,,,3.338,3.07,1821,0
2026-05-15T22:07:29.711792+00:00,stratolink-3,,,,3.338,3.066,1746,0
2026-05-15T22:12:32.775169+00:00,stratolink-3,,,,3.338,3.88,1669,0
2026-05-15T22:17:35.81743+00:00,stratolink-3,,,,3.336,3.066,1588,0
2026-05-15T22:22:38.868309+00:00,stratolink-3,,,,3.34,3.06,1506,0
2026-05-15T22:27:41.914412+00:00,stratolink-3,,,,3.336,3.06,1433,0
2026-05-15T22:32:44.944228+00:00,stratolink-3,,,,3.338,3.056,1353,0
2026-05-15T22:37:47.961651+00:00,stratolink-3,,,,3.34,3.058,1299,0
2026-05-15T22:42:50.982066+00:00,stratolink-3,,,,3.336,3.058,1245,0
2026-05-15T22:47:53.965538+00:00,stratolink-3,,,,3.34,3.052,1218,0
2026-05-15T22:52:56.979976+00:00,stratolink-3,,,,3.338,3.05,1203,0
2026-05-15T22:57:59.961751+00:00,stratolink-3,,,,3.34,3.054,1195,0
2026-05-15T23:03:02.914088+00:00,stratolink-3,,,,3.334,3.05,1193,0
2026-05-15T23:08:05.899226+00:00,stratolink-3,,,,3.336,3.05,1197,0
2026-05-15T23:13:08.846307+00:00,stratolink-3,,,,3.336,3.052,1197,0
2026-05-15T23:18:11.769728+00:00,stratolink-3,,,,3.336,3.05,1200,0
2026-05-15T23:23:14.719359+00:00,stratolink-3,,,,3.34,3.046,1199,0
2026-05-15T23:28:17.636523+00:00,stratolink-3,,,,3.338,3.058,1201,0
2026-05-15T23:33:20.503998+00:00,stratolink-3,,,,3.338,3.756,1202,0
2026-05-15T23:38:23.380864+00:00,stratolink-3,,,,3.336,3.05,1200,0
2026-05-15T23:43:26.28874+00:00,stratolink-3,,,,3.34,3.05,1188,0
2026-05-15T23:48:29.177031+00:00,stratolink-3,,,,3.336,3.052,1171,0
2026-05-15T23:53:32.067795+00:00,stratolink-3,,,,3.336,3.052,1148,0
2026-05-15T23:58:34.909117+00:00,stratolink-3,,,,3.336,3.046,1116,0
2026-05-16T00:03:37.783437+00:00,stratolink-3,,,,3.334,3.046,1087,0
2026-05-16T00:08:40.640039+00:00,stratolink-3,,,,3.34,3.29,1049,0
2026-05-16T00:13:43.483254+00:00,stratolink-3,,,,3.334,3.05,1014,0
2026-05-16T00:18:46.288114+00:00,stratolink-3,,,,3.34,3.052,974,0
2026-05-16T02:36:21.775671+00:00,stratolink-3,,,,4.704,0.55,864,0
2026-05-16T20:00:00+00:00,stratolink-3,,,,3.7,,,
2026-05-17T00:56:31.337313+00:00,stratolink-3,,,,4.69,2.034,940,0
2026-05-17T01:02:04.372961+00:00,stratolink-3,,,,4.69,2.234,941,0
2026-05-17T01:07:12.084784+00:00,stratolink-3,37.7784329,-122.3979689,-18,4.402,2.962,968,0
2026-05-17T01:17:16.775032+00:00,stratolink-3,,,,3.338,3.01,933,0
2026-05-17T15:55:29.933759+00:00,stratolink-3,37.7278539,-122.425933,734,5.372,5.154,8738,2
2026-05-17T16:00:36.037042+00:00,stratolink-3,37.7018272,-122.4334453,1013,5.37,5.154,8738,2
2026-05-17T16:04:10.088499+00:00,stratolink-3,37.6755549,-122.4395281,1201,5.388,4.964,8738,2
2026-05-17T16:09:16.210873+00:00,stratolink-3,37.6491533,-122.4434913,1366,5.388,4.066,8738,2
2026-05-17T16:24:30.58768+00:00,stratolink-3,37.6043216,-122.4186334,1916,5.384,5.032,8738,0
2026-05-17T16:44:39.112906+00:00,stratolink-3,37.4929447,-122.3344165,2789,5.364,5.04,8738,2
2026-05-17T16:49:42.116476+00:00,stratolink-3,37.4583287,-122.3145967,2979,5.362,5.09,8738,2
2026-05-17T16:54:45.36871+00:00,stratolink-3,37.4224985,-122.2893366,3221,5.386,4.974,8738,1
2026-05-17T16:59:48.190251+00:00,stratolink-3,37.3823285,-122.256516,3457,5.388,5.156,8738,1
2026-05-17T17:04:51.702765+00:00,stratolink-3,37.3461907,-122.2206508,3717,5.364,5.132,8738,2
2026-05-17T17:09:53.112917+00:00,stratolink-3,37.3063606,-122.187729,3935,5.382,5.102,8738,1
2026-05-17T17:14:55.755595+00:00,stratolink-3,37.2690699,-122.1541516,4148,5.374,4.992,8738,1
2026-05-17T17:19:58.289191+00:00,stratolink-3,37.2335001,-122.1153793,4351,5.36,5.076,8738,2
2026-05-17T17:21:21.120107+00:00,stratolink-3,37.2233936,-122.1044893,4421,5.36,4.162,8738,1
2026-05-17T17:26:23.098114+00:00,stratolink-3,37.1859781,-122.0648298,4670,5.38,5.018,8738,1
2026-05-17T17:31:26.182559+00:00,stratolink-3,37.1493758,-122.025578,4924,5.37,4.36,8738,1
2026-05-17T17:36:29.163856+00:00,stratolink-3,37.1152609,-121.9843454,5199,5.372,5.156,8738,3
2026-05-17T17:41:32.090369+00:00,stratolink-3,37.0762419,-121.9368322,5482,5.384,5.05,8738,3
2026-05-17T17:46:34.307382+00:00,stratolink-3,37.0238153,-121.8842043,5809,5.366,5.076,8738,1
2026-05-17T17:51:34.147639+00:00,stratolink-3,36.96056,-121.8303943,6010,5.372,5.07,8738,3
