t_s,played_level,rms_sq_var,noise_floor_sq,threshold,event
3.272475409507751465e+01,2.800000000000000058e-02,2.000000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
3.404472517967224121e+01,2.800000000000000058e-02,1.600000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
3.545031809806823730e+01,2.800000000000000058e-02,1.600000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
3.677097129821777344e+01,1.499999999999999944e-02,1.100000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
3.818415904045104980e+01,1.499999999999999944e-02,9.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
3.950407505035400391e+01,1.499999999999999944e-02,9.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
4.082340502738952637e+01,8.000000000000000167e-03,7.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
4.223407912254333496e+01,8.000000000000000167e-03,7.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
4.355350995063781738e+01,8.000000000000000167e-03,7.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
4.487963390350341797e+01,0.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
4.629545807838439941e+01,0.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
4.761790013313293457e+01,0.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
4.894224905967712402e+01,0.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
5.034540128707885742e+01,0.000000000000000000e+00,1.100000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
5.166058492660522461e+01,0.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
5.307032299041748047e+01,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
